tau,h,q_tau,f_hat,beta_rif,se_beta_rif,g,n_obs,branch
0.1,24,-0.7487739716754138,0.183894632426616,-0.012013009667004438,0.0034045531528078426,-0.0022091279970511656,40558.0,
0.5,0,0.005435123949260046,0.9059392908278249,0.003234690648130656,0.0008637936501963784,0.0029304333518148837,40582.0,
0.5,1,0.005435123949260046,0.9059392908278249,0.0034273540973282376,0.0010198457262110088,0.0031049747403493833,40581.0,
0.5,2,0.005435123949260046,0.9059392908278249,0.002768653022741283,0.0010216292815124605,0.002508231555970552,40580.0,
0.5,3,0.005435123949260046,0.9059392908278249,0.0015183070404164462,0.0010214902013527848,0.0013754940034537688,40579.0,
0.5,4,0.005435123949260046,0.9059392908278249,0.0015977324380957055,0.001022497204955059,0.001447448591901035,40578.0,
0.5,5,0.005435123949260046,0.9059392908278249,0.0016063637965401762,0.0010222765996232308,0.0014552680786490996,40577.0,
0.5,6,0.005435123949260046,0.9059392908278249,0.0009425189064474721,0.001022293608933295,0.0008538649096988399,40576.0,
0.5,7,0.005435123949260046,0.9059392908278249,0.00063714193093245,0.0010225031672202985,0.0005772119090656147,40575.0,
0.5,8,0.005435123949260046,0.9059392908278249,0.0020207493087706515,0.0010213145442415517,0.0018306761957285014,40574.0,
0.5,9,0.005435123949260046,0.9059392908278249,0.0014456467459942528,0.0010221353113523412,0.0013096681878535861,40573.0,
0.5,10,0.005435123949260046,0.9059392908278249,0.0016996521018358922,0.0010222274369358047,0.00153978161979123,40572.0,
0.5,11,0.005435123949260046,0.9059392908278249,0.0017296608986064853,0.001021914949875212,0.0015669677678561776,40571.0,
0.5,12,0.005435123949260046,0.9059392908278249,0.0008112549430642141,0.0010220340029657327,0.0007349477278001616,40570.0,
0.5,13,0.005435123949260046,0.9059392908278249,0.0011020067445940795,0.001022024323379127,0.0009983512086850404,40569.0,
0.5,14,0.005435123949260046,0.9059392908278249,0.0011775463959013536,0.0010217179325060443,0.0010667855468197334,40568.0,
0.5,15,0.005435123949260046,0.9059392908278249,-0.00031642759815942324,0.0010225504050582223,-0.0002866641938748998,40567.0,
0.5,16,0.005435123949260046,0.9059392908278249,0.0009869840167945462,0.0010219479893063957,0.0008941476002332491,40566.0,
0.5,17,0.005435123949260046,0.9059392908278249,7.054458357736722e-05,0.0010218589487866613,6.390911001782428e-05,40565.0,
0.5,18,0.005435123949260046,0.9059392908278249,0.0017132780801105852,0.0010214366539717963,0.0015521259288862408,40564.0,
0.5,19,0.005435123949260046,0.9059392908278249,0.0001534756630695988,0.0010221971862023347,0.00013903963336060253,40563.0,
0.5,20,0.005435123949260046,0.9059392908278249,0.0012876584546220118,0.0010217965237245415,0.0011665403872087182,40562.0,
0.5,21,0.005435123949260046,0.9059392908278249,0.0016759826849627245,0.001021935958293642,0.0015183385650548444,40561.0,
0.5,22,0.005435123949260046,0.9059392908278249,-0.00015178277121698228,0.001022409106380044,-0.0001375059761161949,40560.0,
0.5,23,0.005435123949260046,0.9059392908278249,0.0004132954427235366,0.00102173478897492,0.00037442058028333265,40559.0,
0.5,24,0.005435123949260046,0.9059392908278249,-0.0014771476885157703,0.001021777146867191,-0.0013382061293819377,40558.0,
0.9,0,0.7556727345084553,0.19481122815918436,0.03202282564740591,0.0029954618460644247,0.006238405993498574,40582.0,
0.9,1,0.7556727345084553,0.19481122815918436,0.025863272274151316,0.003392297258133773,0.005038455835942799,40581.0,
0.9,2,0.7556727345084553,0.19481122815918436,0.029091519338688546,0.0034226928317867607,0.005667354611386579,40580.0,
0.9,3,0.7556727345084553,0.19481122815918436,0.017545574331644852,0.003317106348344734,0.003418074884305994,40579.0,
0.9,4,0.7556727345084553,0.19481122815918436,0.0171888255436156,0.0032896467272671526,0.0033485762147657146,40578.0,
0.9,5,0.7556727345084553,0.19481122815918436,0.015964131968026082,0.0032881648609117188,0.003109992155186458,40577.0,
0.9,6,0.7556727345084553,0.19481122815918436,0.016884312476273512,0.003270209951058924,0.0032892536501262825,40576.0,
0.9,7,0.7556727345084553,0.19481122815918436,0.019383912224773113,0.0032795764603688665,0.003776203747037878,40575.0,
0.9,8,0.7556727345084553,0.19481122815918436,0.02278761850641648,0.0033731292430661405,0.004439283948057953,40574.0,
0.9,9,0.7556727345084553,0.19481122815918436,0.01809123993422215,0.0033063053615652906,0.0035243766705082987,40573.0,
0.9,10,0.7556727345084553,0.19481122815918436,0.019225544353595587,0.0033033477330878334,0.0037453519075528285,40572.0,
0.9,11,0.7556727345084553,0.19481122815918436,0.018252573906598558,0.0032848185157002266,0.0035558063398107467,40571.0,
0.9,12,0.7556727345084553,0.19481122815918436,0.014880333260287995,0.00324833618027476,0.0028988559978546644,40570.0,
