alpha,h,side,method,beta,se,ci_lo,ci_hi,pval,n_obs
0.05,20,up,logit,0.046952866368019354,0.007260238327575584,0.03272279924597121,0.061182933490067495,9.988524315362838e-11,40562
0.05,20,up,lpm,0.0029362477432120044,0.0005093339440094383,0.001806963122808954,0.0040771801909680805,8.171722178337066e-09,40562
0.05,21,down,logit,0.03117582420836253,0.007646012195464175,0.016189640305252745,0.046162008111472315,4.5542770239996294e-05,40561
0.05,21,down,lpm,0.0018033395400814936,0.0004758708917461207,0.0007893479545482655,0.0028639777093993697,0.00015091660016213756,40561
0.05,21,up,logit,0.04821781098356636,0.007292632678862142,0.03392425093299656,0.06251137103413616,3.7954030011526887e-11,40561
0.05,21,up,lpm,0.0029763419790207,0.0005128451179781059,0.0018879286245080578,0.0041322531483582135,6.491050436990602e-09,40561
0.05,22,down,logit,0.028454701962382336,0.007684490472910328,0.013393100635478094,0.04351630328928658,0.00021317055199216112,40560
0.05,22,down,lpm,0.0016571580583025678,0.00047357773430469423,0.0007104019477815865,0.0026666760759063574,0.0004666015253674202,40560
0.05,22,up,logit,0.04452779652858926,0.007363885910375007,0.030094580144254243,0.05896101291292427,1.4776950477898409e-09,40560
0.05,22,up,lpm,0.002715455917941048,0.0004956799801035846,0.001679997885304657,0.003774996117089828,4.295673072995654e-08,40560
0.05,23,down,logit,0.03167222940856526,0.0076149081372832725,0.016747009459490047,0.04659744935764047,3.193084606231986e-05,40559
0.05,23,down,lpm,0.0018449459592276504,0.0004727965796045355,0.0008629670846549371,0.0028666255295032674,9.532305505711349e-05,40559
0.05,23,up,logit,0.04316787858122531,0.007351909811746916,0.028758135350201358,0.05757762181224926,4.314657194965883e-09,40559
0.05,23,up,lpm,0.002667034082240077,0.000491525276664422,0.001647653031489676,0.003761527417117756,5.761918745860675e-08,40559
0.05,24,down,logit,0.013429320190370065,0.00794294069979122,-0.0021388435812207274,0.028997483961960856,0.09088953508623356,40558
0.05,24,down,lpm,0.0008023302301724322,0.0004548985902575068,-0.00026052008352133485,0.0017550530164322808,0.07777302679345376,40558
0.05,24,up,logit,0.031418051250120364,0.007523120230172373,0.016672735598982514,0.04616336690125822,2.964198228211639e-05,40558
0.05,24,up,lpm,0.0019479323881850417,0.0004841924689811977,0.0008407371342969352,0.0031145547441877625,5.7448348807422456e-05,40558
0.1,0,down,logit,0.03993223573030624,0.008431946473073661,0.023405620643081868,0.05645885081753062,2.181641470006742e-06,40582
0.1,0,down,lpm,0.005036359818193867,0.0005402799683213769,0.0038117580156641186,0.006242210204062836,1.1442695735270364e-20,40582
