tau,h,beta_shock,se_shock,pval_shock,beta_interaction,se_interaction,pval_interaction,n_obs
0.75,5,0.027896047250995704,0.002992729035787271,1.2054584617096921e-20,-0.009994498853327372,0.005232467321580996,0.05612829244256857,40577
0.75,6,0.032827962403899846,0.0033646603962151807,1.8280797366597145e-22,-0.011052116502036746,0.005867082788908082,0.05960596151965928,40576
0.75,7,0.039543052738850115,0.0037491574084769553,5.65595698028079e-26,-0.02094382995494304,0.006521148287967664,0.001320649714938624,40575
0.75,8,0.04200962997769264,0.0039014158860844134,5.314578457775624e-27,-0.023046176268920693,0.006773747298493719,0.0006689094691855826,40574
0.75,9,0.04564463019999998,0.004320599342870215,4.7098710430622994e-26,-0.02780018175845278,0.007520353349660055,0.000218742976338211,40573
0.75,10,0.05042682789525221,0.004587718839146802,4.5899633690705495e-28,-0.037362045698988045,0.007979036478800734,2.8427728618681205e-06,40572
0.75,11,0.05215611100984546,0.0047606584809868424,6.831316985630389e-28,-0.03965856829435721,0.00829969099194952,1.773848364006128e-06,40571
0.75,12,0.05593992630017297,0.0049252852815927515,7.534389345969265e-30,-0.046139765596467486,0.008545328944810755,6.723387801647306e-08,40570
0.75,13,0.05872079086456772,0.005213833667896867,2.2223182807001069e-29,-0.04392725661008967,0.009075384138256766,1.301428676625947e-06,40569
0.75,14,0.05949362947479031,0.005441073607827297,8.652507112522225e-28,-0.04277515873636695,0.009471119358678828,6.308327297695628e-06,40568
0.75,15,0.06048129406070979,0.00569496173346254,2.6011311454891523e-26,-0.03696351130242714,0.009916080384363899,0.00019354886244114393,40567
0.75,16,0.06026015473050417,0.00606084541054592,2.890244680912574e-23,-0.03429041715579695,0.010548257993184991,0.0011516924701906776,40566
0.75,17,0.06366723378505745,0.0062618217627610695,2.9604620423129666e-24,-0.04002116913319487,0.0109026939220867,0.0002421406835238634,40565
0.75,18,0.06308559266854097,0.00640048897621526,6.826136880458048e-23,-0.037053717918631435,0.011130342342155354,0.0008721327940452443,40564
0.75,19,0.06832507705141469,0.006804868061538813,1.0769441736945744e-23,-0.045382957163684234,0.01179846139015067,0.00011999302306998544,40563
0.75,20,0.07309055099521,0.007146373355739748,1.596959791936699e-24,-0.036237154195626786,0.012415409503700191,0.0035166032968586666,40562
0.75,21,0.06708173786462313,0.00728466407746913,3.456403039143647e-20,-0.033312452610912535,0.012674889502044208,0.008586423175090962,40561
0.75,22,0.0772506957107173,0.007743622756191876,2.0650591797825412e-23,-0.04618537848997262,0.013469194539398212,0.0006064929050051913,40560
0.75,23,0.0839025948855685,0.007771328386826252,3.8961257871266306e-27,-0.04360448229066094,0.013467654691442984,0.0012058621427142445,40559
