dgp,vol_model,h,tau,beta_real,beta_placebo_mean,placebo_ci_lo,placebo_ci_hi,gap_real,gap_placebo
model_scaled,rolling,6,0.99,0.07946142970276426,0.030933948814790255,-0.018624258860120334,0.08582665854790336,0.0800823574793803,0.07134568002106599
model_scaled,rolling,12,0.01,-0.2411159786718926,-0.19631914243425058,-0.2963826648405718,-0.10658330222450935,0.1525051096686525,0.14468441316957917
model_scaled,rolling,12,0.05,-0.10169389045756105,-0.06186194497022303,-0.09632509996702061,-0.025401741305749025,0.1525051096686525,0.14468441316957917
model_scaled,rolling,12,0.95,0.0774329048564546,0.05134308790860365,0.018385694226821202,0.085400880419498,0.1525051096686525,0.14468441316957917
model_scaled,rolling,12,0.99,0.08861086900324011,0.048996138577842886,-0.01810309221827459,0.13295112377253585,0.1525051096686525,0.14468441316957917
model_scaled,rolling,18,0.01,-0.23191709825935192,-0.1464505441546646,-0.2699592463904808,-0.04306760554855284,0.06358294282643229,0.09180481424643863
model_scaled,rolling,18,0.05,-0.08677621073299058,-0.05072085515516997,-0.0979314961712832,-0.009439645549505753,0.06358294282643229,0.09180481424643863
model_scaled,rolling,18,0.95,0.11293117535373387,0.06206992019568451,0.021881932819073958,0.10706256351696045,0.06358294282643229,0.09180481424643863
model_scaled,rolling,18,0.99,0.16833415543291963,0.0496515445550057,-0.032804250520128246,0.1479809719872569,0.06358294282643229,0.09180481424643863
model_scaled,rolling,24,0.01,-0.21309558149341967,-0.12921768401988848,-0.2541765127631887,-0.015853369730858952,0.05753599815609789,0.06833521038661694
model_scaled,rolling,24,0.05,-0.11593610713527092,-0.05553528702728158,-0.11016816818927626,-0.002993967726700756,0.05753599815609789,0.06833521038661694
model_scaled,rolling,24,0.95,0.11594303556308105,0.06250839802433077,0.018009988711899984,0.11222285841955298,0.05753599815609789,0.06833521038661694
model_scaled,rolling,24,0.99,0.15555958333732178,0.05316002420238398,-0.05017458325600237,0.17746353009036414,0.05753599815609789,0.06833521038661694
